ticker,sector_name,subsector_name,industry_name,subindustry_name
BULL,Energi,"Minyak, Gas & Batu Bara",Minyak & Gas,Penyimpanan & Distribusi Minyak & Gas
BUMI,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara
BUVA,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar"
BVIC,Keuangan,Bank,Bank,Bank
BWPT,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan
BYAN,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara
CAKK,Perindustrian,Barang Perindustrian,Produk & Perlengkapan Bangunan,Produk & Perlengkapan Bangunan
CAMP,Barang Konsumen Primer,Makanan & Minuman,Makanan Olahan,Produk Susu Olahan
CANI,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Distribusi Batu Bara
CARE,Kesehatan,Jasa & Peralatan Kesehatan,Penyedia Jasa Kesehatan,Penyedia Jasa Kesehatan
CARS,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Otomotif
CASA,Keuangan,Perusahaan Holding & Investasi,Perusahaan Holding & Investasi,Perusahaan Holding Keuangan
CASH,Teknologi,Perangkat Lunak & Jasa TI,Aplikasi & Jasa Internet,Aplikasi & Jasa Internet
CASS,Infrastruktur,Infrastruktur Transportasi,Operator Infrastruktur Transportasi,Operator Bandar Udara
CBDK,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
CBMF,Barang Konsumen Non-Primer,Barang Rumah Tangga,Barang Rumah Tangga,Produsen Furnitur Rumah
CBPE,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
CBRE,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Distribusi Batu Bara
CBUT,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan
CCSI,Perindustrian,Barang Perindustrian,Kelistrikan,Komponen & Peralatan Kelistrikan
CDIA,Infrastruktur,Utilitas,Utilitas Listrik,Utilitas Listrik
CEKA,Barang Konsumen Primer,Makanan & Minuman,Makanan Olahan,Makanan Olahan
CENT,Infrastruktur,Telekomunikasi,Jasa Telekomunikasi Nirkabel,Jasa Telekomunikasi Nirkabel
CFIN,Keuangan,Jasa Pembiayaan,Pembiayaan Konsumen,Pembiayaan Konsumen
CGAS,Energi,"Minyak, Gas & Batu Bara",Minyak & Gas,Penyimpanan & Distribusi Minyak & Gas
CHEK,Kesehatan,Jasa & Peralatan Kesehatan,Peralatan & Perlengkapan Kesehatan,Penyedia & Distribusi Perlengkapan Kesehatan
CHEM,Barang Baku,Barang Baku,Barang Kimia,Barang Kimia Dasar
CHIP,Teknologi,Perangkat Keras & Peralatan Teknologi,"Perangkat, Instrumen & Komponen Elektronik",Perangkat & Instrumen Elektronik
CINT,Barang Konsumen Non-Primer,Barang Rumah Tangga,Barang Rumah Tangga,Produsen Furnitur Rumah
CITA,Barang Baku,Barang Baku,Logam & Mineral,Alumunium
CITY,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
CLAY,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar"
CLEO,Barang Konsumen Primer,Makanan & Minuman,Minuman,Minuman Ringan
CLPI,Barang Baku,Barang Baku,Barang Kimia,Barang Kimia Khusus
CMNP,Infrastruktur,Infrastruktur Transportasi,Operator Infrastruktur Transportasi,Operator Jalan Tol & Rel
CMNT,Barang Baku,Barang Baku,Material Konstruksi,Material Konstruksi
CMPP,Transportasi & Logistik,Transportasi,Maskapai Penerbangan,Maskapai Penerbangan
CMRY,Barang Konsumen Primer,Makanan & Minuman,Makanan Olahan,Produk Susu Olahan
CNKO,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Distribusi Batu Bara
CNMA,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,Fasilitas Rekreasi & Olah Raga
COAL,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara
COCO,Barang Konsumen Primer,Makanan & Minuman,Makanan Olahan,Makanan Olahan
COIN,Keuangan,Perusahaan Holding & Investasi,Perusahaan Holding & Investasi,Perusahaan Holding Keuangan
